ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
03750.HK,20251114,557.0,565.5,541.5,542.0,567.5,-25.5,-4.49,1835993,1012563121.1
03750.HK,20251117,531.0,531.5,515.5,526.0,542.0,-16.0,-2.95,1907496,999045418.15
03750.HK,20251118,520.0,525.5,501.0,504.0,526.0,-22.0,-4.18,2974644,1513949038.6
03750.HK,20251119,514.5,525.0,507.0,512.0,504.0,8.0,1.59,2904805,1498204922.039
03750.HK,20251120,512.0,512.0,467.2,483.0,512.0,-29.0,-5.66,14760777,7092357149.532
03750.HK,20251121,477.8,477.8,460.0,465.0,483.0,-18.0,-3.73,6741203,3135203228.164
03750.HK,20251124,479.0,479.0,458.2,465.0,465.0,0.0,0.0,4034648,1875788756.62
03750.HK,20251125,465.0,473.4,461.8,468.2,465.0,3.2,0.69,2938753,1372369087.78
03750.HK,20251126,480.0,480.0,464.2,467.2,468.2,-1.0,-0.21,3311239,1555478214.2
03750.HK,20251127,470.0,474.6,466.0,470.0,467.2,2.8,0.6,2482053,1165690464.8
03750.HK,20251128,474.8,474.8,463.2,472.0,470.0,2.0,0.43,2017940,944960279.6
03750.HK,20251201,479.8,484.8,475.0,483.0,472.0,11.0,2.33,2523709,1209478324.4
03750.HK,20251202,484.8,486.0,475.2,477.8,483.0,-5.2,-1.08,1912092,916900136.2
03750.HK,20251203,477.8,486.4,471.6,473.6,477.8,-4.2,-0.88,2173182,1037077987.6
03750.HK,20251204,475.0,483.0,470.0,483.0,473.6,9.4,1.98,2395088,1146171513.72
03750.HK,20251205,486.0,496.6,482.0,490.4,483.0,7.4,1.53,2266715,1110470025.8
03750.HK,20251208,500.5,510.0,490.6,506.5,490.4,16.1,3.28,3902634,1961514746.0
03750.HK,20251209,508.0,508.0,493.0,496.0,506.5,-10.5,-2.07,1948121,970902445.4
03750.HK,20251210,500.0,506.0,490.4,498.4,496.0,2.4,0.48,2569758,1281192694.5
03750.HK,20251211,507.0,518.5,504.5,508.0,498.4,9.6,1.93,2608745,1335025660.1
03750.HK,20251212,523.0,523.0,510.0,516.0,508.0,8.0,1.57,2979319,1540390883.4
03750.HK,20251215,519.5,525.5,512.5,519.0,516.0,3.0,0.58,2500381,1292763215.25
03750.HK,20251216,529.0,529.0,500.5,506.0,519.0,-13.0,-2.5,2499164,1274829386.3
03750.HK,20251217,507.0,515.0,502.0,511.0,506.0,5.0,0.99,1456033,741250138.6
03750.HK,20251218,515.5,517.0,487.8,494.0,511.0,-17.0,-3.33,3242454,1608330828.0
03750.HK,20251219,494.0,506.0,489.0,505.0,494.0,11.0,2.23,6561643,3303337109.9
03750.HK,20251222,511.5,515.5,503.0,509.5,505.0,4.5,0.89,1791077,911193686.0
03750.HK,20251223,515.0,522.0,508.5,515.0,509.5,5.5,1.08,2401406,1236229311.0
03750.HK,20251224,515.0,515.0,506.5,508.5,515.0,-6.5,-1.26,612104,311740464.0
03750.HK,20251229,509.5,512.0,495.2,497.8,508.5,-10.7,-2.1,1707373,852955175.3
03750.HK,20251230,494.0,509.0,494.0,503.0,497.8,5.2,1.04,2132963,1068692506.2
03750.HK,20251231,504.0,516.0,502.0,505.5,503.0,2.5,0.5,872229,442394523.0
03750.HK,20260102,507.0,520.0,504.0,514.5,505.5,9.0,1.78,1045331,537840215.2
03750.HK,20260105,520.0,523.5,504.0,514.5,514.5,0.0,0.0,1957642,1003224981.5
03750.HK,20260106,518.0,519.5,504.0,510.5,514.5,-4.0,-0.78,1780260,907557224.9
03750.HK,20260107,510.5,513.0,504.0,506.0,510.5,-4.5,-0.88,1396328,707738948.53
03750.HK,20260108,510.0,510.0,495.6,503.5,506.0,-2.5,-0.49,1679315,842273124.518
03750.HK,20260109,499.0,510.0,492.2,497.4,503.5,-6.1,-1.21,2249123,1122837192.0
03750.HK,20260112,500.5,501.0,473.0,485.2,497.4,-12.2,-2.45,3756932,1812436454.7
03750.HK,20260113,485.6,495.8,485.6,489.8,485.2,4.6,0.95,2338610,1147186527.0
